anio,periodo,mujeres,hombres
2002,Trimestre 1,16.35,8.362
2002,Trimestre 2,16.045,7.857
2002,Trimestre 3,16.202,8.329
2002,Trimestre 4,16.005,8.647
2003,Trimestre 1,16.733,8.76
2003,Trimestre 2,15.681,8.273
2003,Trimestre 3,15.541,8.387
2003,Trimestre 4,15.411,8.577
2004,Trimestre 1,15.545,8.683
2004,Trimestre 2,15.036,8.327
2004,Trimestre 3,14.362,8.203
2004,Trimestre 4,14.347,7.833
2005,Trimestre 1,13.465,7.842
2005,Trimestre 2,12.005,7.41
2005,Trimestre 3,11.037,6.56
2005,Trimestre 4,11.471,6.728
2006,Trimestre 1,12.033,6.856
2006,Trimestre 2,11.278,6.38
2006,Trimestre 3,10.907,6.046
2006,Trimestre 4,11.171,6.122
2007,Trimestre 1,11.234,6.34
2007,Trimestre 2,10.346,6.155
2007,Trimestre 3,10.39,6.251
2007,Trimestre 4,10.826,6.889
2008,Trimestre 1,11.879,7.898
2008,Trimestre 2,12.08,9.062
2008,Trimestre 3,12.484,10.285
2008,Trimestre 4,14.854,12.961
2009,Trimestre 1,17.755,16.844
2009,Trimestre 2,18.038,17.564
2009,Trimestre 3,17.907,17.624
2009,Trimestre 4,18.802,18.555
2010,Trimestre 1,19.904,19.797
2010,Trimestre 2,20.304,19.558
2010,Trimestre 3,20.185,19.117
2010,Trimestre 4,20.506,19.796
2011,Trimestre 1,21.664,20.599
2011,Trimestre 2,20.916,20.418
2011,Trimestre 3,21.752,20.901
2011,Trimestre 4,22.916,22.26
2012,Trimestre 1,24.461,23.958
2012,Trimestre 2,24.356,24.434
2012,Trimestre 3,25.095,24.539
2012,Trimestre 4,26.222,25.396
2013,Trimestre 1,27.259,26.661
2013,Trimestre 2,26.712,25.501
2013,Trimestre 3,26.183,25.194
2013,Trimestre 4,26.53,25.039
2014,Trimestre 1,26.569,25.374
2014,Trimestre 2,25.378,23.698
2014,Trimestre 3,25.009,22.528
2014,Trimestre 4,24.744,22.804
2015,Trimestre 1,24.983,22.741
2015,Trimestre 2,24.007,20.96
2015,Trimestre 3,22.684,19.901
2015,Trimestre 4,22.518,19.489
2016,Trimestre 1,22.777,19.451
2016,Trimestre 2,21.823,18.408
2016,Trimestre 3,20.661,17.395
2016,Trimestre 4,20.254,17.22
2017,Trimestre 1,20.508,17.223
2017,Trimestre 2,19.046,15.638
2017,Trimestre 3,18.211,14.804
2017,Trimestre 4,18.348,14.973
2018,Trimestre 1,18.542,15.181
2018,Trimestre 2,17.082,13.715
2018,Trimestre 3,16.221,13.117
2018,Trimestre 4,16.259,12.875
2019,Trimestre 1,16.741,12.905
2019,Trimestre 2,15.779,12.487
2019,Trimestre 3,15.923,12.175
2019,Trimestre 4,15.547,12.23
2020,Trimestre 1,16.238,12.794
2020,Trimestre 2,16.716,14.127
2020,Trimestre 3,18.389,14.391
2020,Trimestre 4,18.328,14.17
2021,Trimestre 1,18.131,14.068
2021,Trimestre 2,17.363,13.386
2021,Trimestre 3,16.361,12.973
2021,Trimestre 4,15.038,11.795
2022,Trimestre 1,15.445,12.041
